"city","county","city_distressed","county_distressed"
"Adair Village","Benton County","No","No"
"Adams","Umatilla County","No","No"
"Adrian","Malheur County","No","No"
"Albany","Linn County","No","Yes"
"Amity","Yamhill County","Yes","No"
"Antelope","Wasco County","Yes","No"
"Arlington","Gilliam County","Yes","No"
"Ashland","Jackson County","No","Yes"
"Astoria","Clatsop County","No","Yes"
"Athena","Umatilla County","Yes","No"
"Aumsville","Marion County","Yes","No"
"Aurora","Marion County","No","No"
"Baker City","Baker County","No","Yes"
"Bandon","Coos County","No","Yes"
"Banks","Washington County","Yes","No"
"Barlow","Clackamas County","Yes","No"
"Bay City","Tillamook County","No","Yes"
"Beaverton","Washington County","No","No"
"Bend","Deschutes County","No","No"
"Boardman","Morrow County","Yes","No"
"Bonanza Town","Klamath County","No","Yes"
"Brookings","Curry County","No","Yes"
"Brownsville","Linn County","No","Yes"
"Burns","Harney County","Yes","No"
"Butte Falls Town","Jackson County","No","Yes"
"Canby","Clackamas County","No","No"
"Cannon Beach","Clatsop County","No","Yes"
"Canyon Town","Grant County","No","Yes"
"Canyonville","Douglas County","No","Yes"
"Carlton","Yamhill County","Yes","No"
"Cascade Locks","Hood River County","No","No"
"Cave Junction","Josephine County","No","Yes"
"Central Point","Jackson County","No","Yes"
"Chiloquin","Klamath County","No","Yes"
"Clatskanie","Columbia County","No","Yes"
"Coburg","Lane County","No","Yes"
"Columbia City","Columbia County","No","Yes"
"Condon","Gilliam County","Yes","No"
"Coos Bay","Coos County","No","Yes"
"Coquille","Coos County","No","Yes"
"Cornelius","Washington County","No","No"
"Corvallis","Benton County","Yes","No"
"Cottage Grove","Lane County","No","Yes"
"Cove","Union County","No","Yes"
"Creswell","Lane County","No","Yes"
"Culver","Jefferson County","No","Yes"
"Dallas","Polk County","Yes","No"
"Dayton","Yamhill County","No","No"
"Dayville Town","Grant County","No","Yes"
"Depoe Bay","Lincoln County","No","Yes"
"Detroit","Marion County","No","No"
"Donald","Marion County","Yes","No"
"Drain","Douglas County","No","Yes"
"Dufur","Wasco County","No","No"
"Dundee","Yamhill County","No","No"
"Dunes City","Lane County","No","Yes"
"Durham","Washington County","No","No"
"Eagle Point","Jackson County","No","Yes"
"Echo","Umatilla County","Yes","No"
"Elgin","Union County","No","Yes"
"Elkton","Douglas County","No","Yes"
"Enterprise","Wallowa County","Yes","No"
"Estacada","Clackamas County","Yes","No"
"Eugene","Lane County","No","Yes"
"Fairview","Multnomah County","No","No"
"Falls City","Polk County","Yes","No"
"Florence","Lane County","No","Yes"
"Forest Grove","Washington County","No","No"
"Fossil","Wheeler County","Yes","No"
"Garibaldi","Tillamook County","No","Yes"
"Gaston","Washington County","No","No"
"Gates","Marion County","Yes","No"
"Gearhart","Clatsop County","No","Yes"
"Gervais","Marion County","No","No"
"Gladstone","Clackamas County","Yes","No"
"Glendale","Douglas County","No","Yes"
"Gold Beach","Curry County","No","Yes"
"Gold Hill","Jackson County","No","Yes"
"Granite","Grant County","No","Yes"
"Grants Pass","Josephine County","No","Yes"
"Grass Valley","Sherman County","No","No"
"Greenhorn","Baker County","No","Yes"
"Gresham","Multnomah County","Yes","No"
"Haines","Baker County","No","Yes"
"Halfway","Baker County","No","Yes"
"Halsey","Linn County","No","Yes"
"Happy Valley","Clackamas County","No","No"
"Harrisburg","Linn County","No","Yes"
"Helix","Umatilla County","No","No"
"Heppner","Morrow County","Yes","No"
"Hermiston","Umatilla County","Yes","No"
"Hillsboro","Washington County","No","No"
"Hines","Harney County","Yes","No"
"Hood River","Hood River County","No","No"
"Hubbard","Marion County","No","No"
"Huntington","Baker County","No","Yes"
"Idanha","Marion County","No","No"
"Imbler","Union County","No","Yes"
"Independence","Polk County","Yes","No"
"Ione","Morrow County","No","No"
"Irrigon","Morrow County","Yes","No"
"Island City","Union County","No","Yes"
"Jacksonville","Jackson County","No","Yes"
"Jefferson","Marion County","Yes","No"
"John Day","Grant County","No","Yes"
"Johnson City","Clackamas County","No","No"
"Jordan Valley","Malheur County","Yes","No"
"Joseph","Wallowa County","No","No"
"Junction City","Lane County","No","Yes"
"Keizer","Marion County","No","No"
"King City","Washington County","No","No"
"Klamath Falls","Klamath County","No","Yes"
"La Grande","Union County","No","Yes"
"La Pine","Deschutes County","Yes","No"
"Lafayette","Yamhill County","Yes","No"
"Lake Oswego","Clackamas County","No","No"
"Lakeside","Coos County","No","Yes"
"Lakeview town","Lake County","Yes","No"
"Lebanon","Linn County","No","Yes"
"Lexington town","Morrow County","No","No"
"Lincoln City","Lincoln County","No","Yes"
"Lonerock","Gilliam County","No","No"
"Long Creek","Grant County","No","Yes"
"Lostine","Wallowa County","Yes","No"
"Lowell","Lane County","No","Yes"
"Lyons","Linn County","No","Yes"
"Madras","Jefferson County","No","Yes"
"Malin","Klamath County","No","Yes"
"Manzanita","Tillamook County","No","Yes"
"Maupin","Wasco County","No","No"
"Maywood Park","Multnomah County","No","No"
"McMinnville","Yamhill County","Yes","No"
"Medford","Jackson County","No","Yes"
"Merrill","Klamath County","No","Yes"
"Metolius","Jefferson County","No","Yes"
"Mill City","Marion County","Yes","No"
"Millersburg","Linn County","No","Yes"
"Milton-Freewater","Umatilla County","Yes","No"
"Milwaukie","Clackamas County","No","No"
"Mitchell","Wheeler County","Yes","No"
"Molalla","Clackamas County","Yes","No"
"Monmouth","Polk County","Yes","No"
"Monroe","Benton County","No","No"
"Monument","Grant County","No","Yes"
"Moro","Sherman County","No","No"
"Mosier","Wasco County","No","No"
"Mount Angel","Marion County","Yes","No"
"Mount Vernon","Grant County","No","Yes"
"Myrtle Creek","Douglas County","No","Yes"
"Myrtle Point","Coos County","No","Yes"
"Nehalem","Tillamook County","No","Yes"
"Newberg","Yamhill County","No","No"
"Newport","Lincoln County","No","Yes"
"North Bend","Coos County","No","Yes"
"North Plains","Washington County","No","No"
"North Powder","Union County","No","Yes"
"Nyssa","Malheur County","Yes","No"
"Oakland","Douglas County","No","Yes"
"Oakridge","Lane County","No","Yes"
"Ontario","Malheur County","Yes","No"
"Oregon City","Clackamas County","No","No"
"Paisley","Lake County","Yes","No"
"Pendleton","Umatilla County","Yes","No"
"Philomath","Benton County","No","No"
"Phoenix","Jackson County","No","Yes"
"Pilot Rock","Umatilla County","No","No"
"Port Orford","Curry County","No","Yes"
"Portland","Multnomah County","No","No"
"Powers","Coos County","No","Yes"
"Prairie City","Grant County","No","Yes"
"Prescott","Columbia County","No","Yes"
"Prineville","Crook County","No","Yes"
"Rainier","Columbia County","No","Yes"
"Redmond","Deschutes County","Yes","No"
"Reedsport","Douglas County","No","Yes"
"Richland","Baker County","No","Yes"
"Riddle","Douglas County","No","Yes"
"Rivergrove","Washington County","No","No"
"Rockaway Beach","Tillamook County","No","Yes"
"Rogue River","Jackson County","No","Yes"
"Roseburg","Douglas County","No","Yes"
"Rufus","Sherman County","Yes","No"
"Salem","Marion County","Yes","No"
"Sandy","Clackamas County","No","No"
"Scappoose","Columbia County","No","Yes"
"Scio","Linn County","No","Yes"
"Scotts Mills","Marion County","No","No"
"Seaside","Clatsop County","No","Yes"
"Seneca","Grant County","No","Yes"
"Shady Cove","Jackson County","No","Yes"
"Shaniko","Wasco County","Yes","No"
"Sheridan","Yamhill County","Yes","No"
"Sherwood","Washington County","No","No"
"Siletz","Lincoln County","No","Yes"
"Silverton","Marion County","Yes","No"
"Sisters","Deschutes County","No","No"
"Sodaville","Linn County","No","Yes"
"Spray Town","Wheeler County","Yes","No"
"Springfield","Lane County","No","Yes"
"St. Helens","Columbia County","No","Yes"
"St. Paul","Marion County","No","No"
"Stanfield","Umatilla County","No","No"
"Stayton","Marion County","Yes","No"
"Sublimity","Marion County","No","No"
"Summerville Town","Union County","No","Yes"
"Sumpter","Baker County","No","Yes"
"Sutherlin","Douglas County","No","Yes"
"Sweet Home","Linn County","No","Yes"
"Talent","Jackson County","No","Yes"
"Tangent","Linn County","No","Yes"
"The Dalles","Wasco County","Yes","No"
"Tigard","Washington County","No","No"
"Tillamook","Tillamook County","No","Yes"
"Toledo","Lincoln County","No","Yes"
"Troutdale","Multnomah County","No","No"
"Tualatin","Washington County","No","No"
"Turner","Marion County","No","No"
"Ukiah","Umatilla County","Yes","No"
"Umatilla","Umatilla County","Yes","No"
"Union","Union County","No","Yes"
"Unity","Baker County","No","Yes"
"Vale","Malheur County","Yes","No"
"Veneta","Lane County","No","Yes"
"Vernonia","Columbia County","No","Yes"
"Waldport","Lincoln County","No","Yes"
"Wallowa","Wallowa County","No","No"
"Warrenton","Clatsop County","No","Yes"
"Wasco","Sherman County","No","No"
"Waterloo Town","Linn County","No","Yes"
"West Linn","Clackamas County","No","No"
"Westfir","Lane County","No","Yes"
"Weston","Umatilla County","Yes","No"
"Wheeler","Tillamook County","No","Yes"
"Willamina","Yamhill County","Yes","No"
"Wilsonville","Clackamas County","No","No"
"Winston","Douglas County","No","Yes"
"Wood Village","Multnomah County","No","No"
"Woodburn","Marion County","Yes","No"
"Yachats","Lincoln County","No","Yes"
"Yamhill","Yamhill County","No","No"
"Yoncalla","Douglas County","No","Yes"
